2|0x1d00ffff|0x300030003|0x100010001
3|0x1d00ffff|0x400040004|0x100010001
4|0x1d00ffff|0x500050005|0x100010001
5|0x1d00ffff|0x600060006|0x100010001
6|0x1d00ffff|0x700070007|0x100010001
32256|0x1d00d86a|0x7e01acd42dd2|0x12ed3afd2
32257|0x1d00d86a|0x7e02dba7dda4|0x12ed3afd2
32258|0x1d00d86a|0x7e040a7b8d76|0x12ed3afd2
32259|0x1d00d86a|0x7e05394f3d48|0x12ed3afd2
32260|0x1d00d86a|0x7e066822ed1a|0x12ed3afd2
34272|0x1d00c428|0x87528f22ef20|0x14e19db60
34273|0x1d00c428|0x8753dd3cca80|0x14e19db60
34274|0x1d00c428|0x87552b56a5e0|0x14e19db60
34275|0x1d00c428|0x875679708140|0x14e19db60
34276|0x1d00c428|0x8757c78a5ca0|0x14e19db60
36288|0x1d00be71|0x9199a4c92090|0x1582078d0
36289|0x1d00be71|0x919afce99960|0x1582078d0
36290|0x1d00be71|0x919c550a1230|0x1582078d0
36291|0x1d00be71|0x919dad2a8b00|0x1582078d0
36292|0x1d00be71|0x919f054b03d0|0x1582078d0
38304|0x1d008cc3|0x9c301df4d2a6|0x1d194c4e6
38305|0x1d008cc3|0x9c31ef89978c|0x1d194c4e6
38306|0x1d008cc3|0x9c33c11e5c72|0x1d194c4e6
38307|0x1d008cc3|0x9c3592b32158|0x1d194c4e6
38308|0x1d008cc3|0x9c376447e63e|0x1d194c4e6
40320|0x1c654657|0xaa83470b0222|0x2871c6122
40321|0x1c654657|0xaa85ce276344|0x2871c6122
40322|0x1c654657|0xaa885543c466|0x2871c6122
40323|0x1c654657|0xaa8adc602588|0x2871c6122
40324|0x1c654657|0xaa8d637c86aa|0x2871c6122
42336|0x1c43b3e5|0xbe6c876ab1ca|0x3c7ff250a
42337|0x1c43b3e5|0xbe704f69d6d4|0x3c7ff250a
42338|0x1c43b3e5|0xbe741768fbde|0x3c7ff250a
42339|0x1c43b3e5|0xbe77df6820e8|0x3c7ff250a
42340|0x1c43b3e5|0xbe7ba76745f2|0x3c7ff250a
44352|0x1c387f6f|0xdc3440a8bcb5|0x487f98135
44353|0x1c387f6f|0xdc38c8a23dea|0x487f98135
44354|0x1c387f6f|0xdc3d509bbf1f|0x487f98135
44355|0x1c387f6f|0xdc41d8954054|0x487f98135
44356|0x1c387f6f|0xdc46608ec189|0x487f98135
46368|0x1c381375|0xffe3163bd1cb|0x490b314eb
46369|0x1c381375|0xffe7a6eee6b6|0x490b314eb
46370|0x1c381375|0xffec37a1fba1|0x490b314eb
46371|0x1c381375|0xfff0c855108c|0x490b314eb
46372|0x1c381375|0xfff559082577|0x490b314eb
48384|0x1c2a1115|0x123d81db55deb|0x615e7e66b
48385|0x1c2a1115|0x123de339d4456|0x615e7e66b
